"STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","row_num","st_fips","cnty_fips","tract_fips","name","tract_pop_cur","tract_ASU_clf","tract_ASU_emp","tract_ASU_unemp","tract_ASU_urate","ur","asunum"
"32","001","950301","32001950301","9503.01","Census Tract 9503.01","G5020","S",4483318,0,"+39.4746227","-118.7682909",528,"32","001","950301","Census Tract 9503.01, Churchill County, NV",4203,1625,1579,46,2.8,2.83076923076923,0
"32","001","950302","32001950302","9503.02","Census Tract 9503.02","G5020","S",5825696,0,"+39.4731745","-118.7886951",527,"32","001","950302","Census Tract 9503.02, Churchill County, NV",5597,2452,2394,58,2.4,2.36541598694943,0
"32","003","000107","32003000107","1.07","Census Tract 1.07","G5020","S",1248433,0,"+36.1626780","-115.2149023",177,"32","003","000107","Census Tract 1.07, Clark County, NV",4111,1521,1512,9,0.6,0.591715976331361,0
"32","003","002303","32003002303","23.03","Census Tract 23.03","G5020","S",375318,0,"+36.1393389","-115.1574737",483,"32","003","002303","Census Tract 23.03, Clark County, NV",1051,282,277,5,1.8,1.77304964539007,0
"32","003","002827","32003002827","28.27","Census Tract 28.27","G5020","S",1090676,0,"+36.0897935","-115.0761071",428,"32","003","002827","Census Tract 28.27, Clark County, NV",2996,1813,1772,41,2.3,2.26144511858798,0
"32","003","002831","32003002831","28.31","Census Tract 28.31","G5020","S",1259624,0,"+36.0210113","-115.1765951",372,"32","003","002831","Census Tract 28.31, Clark County, NV",4354,2813,2735,78,2.8,2.77284038393175,0
"32","003","002841","32003002841","28.41","Census Tract 28.41","G5020","S",7964547,0,"+35.9975444","-115.1684142",163,"32","003","002841","Census Tract 28.41, Clark County, NV",5651,2796,2753,43,1.5,1.5379113018598,0
"32","003","002916","32003002916","29.16","Census Tract 29.16","G5020","S",2775794,0,"+36.1515885","-115.2525583",463,"32","003","002916","Census Tract 29.16, Clark County, NV",2911,1340,1318,22,1.6,1.64179104477612,0
"32","003","002952","32003002952","29.52","Census Tract 29.52","G5020","S",1649714,0,"+36.1195165","-115.2709086",451,"32","003","002952","Census Tract 29.52, Clark County, NV",2493,1469,1459,10,0.7,0.68073519400953,0
"32","003","002956","32003002956","29.56","Census Tract 29.56","G5020","S",3946358,0,"+36.1080418","-115.1943752",435,"32","003","002956","Census Tract 29.56, Clark County, NV",3033,2474,2410,64,2.6,2.58690379951496,0
"32","003","002958","32003002958","29.58","Census Tract 29.58","G5020","S",1310434,0,"+36.0961778","-115.2340523",438,"32","003","002958","Census Tract 29.58, Clark County, NV",6034,3873,3772,101,2.6,2.60779757294087,0
"32","003","002980","32003002980","29.80","Census Tract 29.80","G5020","S",1296310,0,"+36.0525048","-115.2341576",515,"32","003","002980","Census Tract 29.80, Clark County, NV",6895,4385,4279,106,2.4,2.41733181299886,0
"32","003","003003","32003003003","30.03","Census Tract 30.03","G5020","S",1660168,0,"+36.1832951","-115.2521329",447,"32","003","003003","Census Tract 30.03, Clark County, NV",5820,3573,3550,23,0.6,0.643716764623566,0
"32","003","003102","32003003102","31.02","Census Tract 31.02","G5020","S",1433428,0,"+36.1774870","-115.2340163",457,"32","003","003102","Census Tract 31.02, Clark County, NV",5551,3013,2981,32,1.1,1.0620643876535,0
"32","003","003211","32003003211","32.11","Census Tract 32.11","G5020","S",2563978,0,"+36.2152208","-115.2968175",743,"32","003","003211","Census Tract 32.11, Clark County, NV",3088,564,555,9,1.6,1.59574468085106,0
"32","003","003220","32003003220","32.20","Census Tract 32.20","G5020","S",2992043,0,"+36.1832291","-115.2738498",751,"32","003","003220","Census Tract 32.20, Clark County, NV",6981,3302,3280,22,0.7,0.66626287098728,0
"32","003","003223","32003003223","32.23","Census Tract 32.23","G5020","S",4365103,0,"+36.1748914","-115.3055247",366,"32","003","003223","Census Tract 32.23, Clark County, NV",3352,1640,1618,22,1.3,1.34146341463415,0
"32","003","003235","32003003235","32.35","Census Tract 32.35","G5020","S",2220627,0,"+36.2856635","-115.2806832",586,"32","003","003235","Census Tract 32.35, Clark County, NV",2239,1400,1381,19,1.4,1.35714285714286,0
"32","003","003244","32003003244","32.44","Census Tract 32.44","G5020","S",1389151,0,"+36.2223733","-115.2880779",585,"32","003","003244","Census Tract 32.44, Clark County, NV",3622,2211,2195,16,0.7,0.723654454997739,0
